user_id,down_vote_count
2411320,45
2213669,39
4972716,35
4143292,29
1236336,21
2179021,18
1017373,17
847663,17
4909923,17
4114372,17
1179880,16
6840039,16
1700890,15
1479974,15
3782963,15
6464893,15
948655,15
4981251,15
3763732,15
140100,15
5698888,15
2532296,15
6222331,15
3779667,14
5209231,13
4759209,13
4713173,13
5029589,12
4661552,12
2752265,12
1317018,11
6773083,11
1206923,11
316082,11
1708772,11
668624,11
1568919,10
2582017,10
4872718,10
1172265,10
4916076,10
4309943,10
4697430,9
6875401,9
2370863,9
992600,9
2204131,9
2242044,9
828602,9
2770803,9
5376493,9
2378710,9
2013250,8
3993270,8
5110870,8
2821224,8
1909918,8
1566200,8
2146894,8
4484709,8
559827,8
4402942,8
6263724,8
328725,7
4169892,7
2587904,7
3839243,7
405818,7
5319229,7
1219003,7
2342399,7
3609179,7
2817602,7
4044400,7
5436714,7
2272156,7
2916309,7
6507553,6
5093471,6
6664393,6
2605262,6
5487839,6
6777053,6
213334,6
104969,6
4706745,6
1609428,6
4776662,6
4936409,6
4695774,6
1764089,6
2259735,6
6571492,6
5405545,6
3430345,6
1625098,5
5893331,5
4802797,5
5179643,5
6857038,5
3604836,5
2251840,5
1290147,5
4115378,5
2322973,5
5040701,5
6071128,5
5718518,5
420892,5
5744310,5
4995876,5
4544413,5
222151,5
3340234,5
6564826,5
1082349,5
3288092,5
2769240,4
626537,4
969907,4
3960038,4
6724844,4
6852858,4
4980269,4
6139162,4
5366046,4
1842486,4
4483411,4
2336654,4
3153140,4
4566565,4
6865456,4
2367240,4
5426588,4
3121439,4
3510736,4
1118236,3
6506593,3
3822779,3
1949548,3
1754273,3
2402501,3
6056160,3
53491,3
4203807,3
5236124,3
6899616,3
1887261,3
194000,3
6206935,3
6204900,3
5062134,3
5235265,3
1231450,3
4810381,3
6491801,3
5095138,3
6605582,3
6835984,3
48956,3
4567933,3
3937192,3
513355,3
2716660,3
4713504,2
6389660,2
6201445,2
4745336,2
6545542,2
4866196,2
5320219,2
2965673,2
1025255,2
2013448,2
6293038,2
5779756,2
1052985,2
3316031,2
5112032,2
6828360,2
998967,2
6862189,2
6538640,2
6719911,2
440732,2
5869997,2
3651036,2
6891053,2
3130926,2
6177375,2
5199451,2
433253,2
4215394,2
3314282,2
4464245,2
1675909,2
4882074,2
454773,2
6835979,2
4541216,2
1752959,2
1934212,2
5061557,2
6849055,2
274392,2
1344508,2
6771714,1
3107858,1
3285014,1
2308132,1
1254450,1
5855283,1
6117337,1
6163540,1
6618225,1
3197044,1
1253493,1
4264062,1
1678467,1
6529170,1
4229273,1
2712770,1
5617886,1
6699237,1
6620395,1
5491423,1
6005062,1
4896087,1
6386056,1
3796635,1
6827430,1
5882284,1
6284734,1
5301837,1
3278309,1
5405782,1
6845969,1
6835733,1
5239351,1
2965601,1
6836322,1
3419728,1
6485635,1
6888731,1
3142347,1
4554446,1
4215760,1
5784297,1
6661895,1
3415821,1
6806330,1
5946185,1
1718097,1
6863702,1
6648687,1
6132613,1
4847498,1
6532319,1
5754771,1
2384800,1
5606318,1
6610874,1
2951327,1
1035217,1
5269483,1
1650345,1
4618255,0
6866960,0
6041629,0
2561804,0
6835239,0
6869037,0
5263412,0
3471881,0
5437137,0
2277435,0
6889536,0
1431625,0
6131788,0
3502161,0
6846554,0
2753629,0
1382498,0
6840427,0
6890604,0
5904495,0
5550203,0
5063813,0
6186122,0
2002061,0
5865631,0
6877346,0
1783974,0
5473454,0
6577353,0
2756793,0
5769402,0
3430943,0
1736893,0
517835,0
6148300,0
6843601,0
6542551,0
5390557,0
6850787,0
4313321,0
2182234,0
6258628,0
6866174,0
5536001,0
4828434,0
3864281,0
5355800,0
1590555,0
6240545,0
6860006,0
6295849,0
6881578,0
5337399,0
3547465,0
3707237,0
3906918,0
6428010,0
6609272,0
2039162,0
5770622,0
6893963,0
3895697,0
6530451,0
3547551,0
2218402,0
3356075,0
6227378,0
5658036,0
6858449,0
6838716,0
6387135,0
1300930,0
6866170,0
6873010,0
671211,0
4117997,0
1097200,0
6108661,0
6696657,0
3079675,0
3182105,0
6838810,0
5677595,0
6651422,0
6852127,0
4240695,0
3698214,0
2023986,0
4602441,0
6735434,0
5134930,0
2807379,0
6621781,0
4800086,0
4455015,0
1961582,0
5976692,0
1591930,0
6852544,0
5309063,0
6854280,0
6412947,0
6858388,0
6855318,0
3115675,0
4530884,0
2011849,0
4065400,0
6845144,0
6865626,0
4893407,0
6840037,0
2629357,0
1785589,0
1609464,0
6832896,0
6891272,0
4610828,0
6849301,0
165658,0
2564864,0
6624389,0
6894373,0
6394663,0
6866735,0
6627176,0
4450508,0
3972916,0
6666049,0
6765878,0
6225734,0
2730295,0
219992,0
1736542,0
2408288,0
1831784,0
4795243,0
6672237,0
1269634,0
6868875,0
6877014,0
6797207,0
1496984,0
6849439,0
4824731,0
6901679,0
6714290,0
5082048,0
6236113,0
4574710,0
6618062,0
6172112,0
6639780,0
6037476,0
5367974,0
4424682,0
3854325,0
686075,0
2857982,0
