,State,Avg_Rate
0,AK,4.007
1,AL,4.01
2,AR,3.9075
3,AZ,4.122
4,CA,4.0405
5,CO,4.064
6,CT,3.6675
7,DC,3.982
8,DE,3.998
9,FL,4.1085
10,GA,3.9265
11,HI,4.099
12,IA,4.115
13,ID,4.0795
14,IL,4.2195
15,IN,4.1125
16,KS,3.9475
17,KY,4.044
18,LA,4.3025
19,MA,3.902
20,MD,3.9865
21,ME,4.201
22,MI,4.003
23,MN,4.024
24,MO,4.079
25,MS,3.5795
26,MT,3.7925
27,NC,4.021
28,ND,3.623
29,NE,3.9205
30,NH,3.844
31,NJ,3.776
32,NM,4.004
33,NV,4.133
34,NY,4.3085
35,OH,3.9905
36,OK,4.0115
37,OR,4.282
38,PA,4.123
39,RI,4.049
40,SC,3.9035
41,SD,3.7225
42,TN,4.0375
43,TX,4.01
44,UT,4.06
45,VA,3.966
46,VT,3.904
47,WA,4.178
48,WI,4.0185
49,WV,3.436388508891929
50,WY,3.5221556886227545
