,category,count
0,Restaurants,20920
1,Shopping,11108
2,Food,8078
3,Beauty & Spas,7134
4,Health & Medical,5981
5,Home Services,5810
6,Automotive,4807
7,Nightlife,4254
8,Local Services,3920
9,Active Life,3172
10,Event Planning & Services,2733
11,Hotels & Travel,2157
12,Arts & Entertainment,2099
13,Real Estate,1677
14,Pets,1606
15,Financial Services,1092
16,Professional Services,1065
17,Education,813
18,Public Services & Government,488
19,Religious Organizations,228
20,Local Flavor,131
21,Mass Media,96
22,Bicycles,0
