,name,stars,review_count,score
0,Deluca's Diner,4.0,385,1540.0
1,P&G's Pamela's Diner,4.0,322,1288.0
2,Square Cafe,4.0,310,1240.0
3,The Dor-Stop Restaurant,4.5,275,1237.5
4,Waffles Incaffeinated,4.0,282,1128.0
5,Coca Cafe,3.5,316,1106.0
6,Waffallonia,4.5,218,981.0
7,P&G's Pamela's Diner,4.0,222,888.0
8,Bluebird Kitchen,4.0,168,672.0
9,P&G's Pamela's Diner,3.5,155,542.5
10,Ritters Diner,3.5,146,511.0
11,Beehive Coffee,4.0,113,452.0
12,Local Bar + Kitchen,3.0,147,441.0
13,Pamela's Upstreet Diner,4.0,108,432.0
14,Cafe Moulin,4.0,102,408.0
15,Kelly O's Diner,3.5,95,332.5
16,Eggs-R-Us,4.0,75,300.0
17,Cornerstone Restaurant & Bar,3.5,85,297.5
18,Caffe Mona la bistro,3.5,85,297.5
19,Crepes Parisiennes,4.0,73,292.0
20,Stagioni,4.0,73,292.0
21,Micro Diner,4.0,73,292.0
22,61C Cafe,3.5,78,273.0
23,Barb's Corner Kitchen,4.0,67,268.0
24,Tartine,4.0,62,248.0
25,Pamela's,4.0,62,248.0
26,Revel + Roost,4.0,60,240.0
27,Drew's Family Restaurant,4.0,54,216.0
28,Pamelas Diner,3.5,58,203.0
29,Pamela's,4.0,48,192.0
30,City Cafe,3.0,63,189.0
31,Parker's PGH,4.5,42,189.0
32,The Bloomfield Sandwich Shop,4.0,41,164.0
33,Eat'n Park Restaurant,3.0,54,162.0
34,Adolfo's Restaurant,4.0,34,136.0
35,Geppetto Cafe,4.0,31,124.0
36,Cherries Diner,3.5,35,122.5
37,Pasha Cafe Lounge,4.5,26,117.0
38,The Inn on Negley,4.5,26,117.0
39,IHOP,2.5,46,115.0
40,Lindos Restaurant,3.5,32,112.0
41,Mauramori Cafe,3.5,28,98.0
42,Millvale Diner,3.5,26,91.0
43,Bruegger's Bagels,3.5,25,87.5
44,Bruegger's Bagels,3.0,29,87.0
45,Allegheny Sandwich Shoppe,4.0,21,84.0
46,Gypsy Cafe,3.5,21,73.5
47,Cucina Vitale,4.0,18,72.0
48,Bruegger's Bagels,3.0,23,69.0
49,Eat'n Park,3.0,22,66.0
50,Grandma B's,5.0,12,60.0
51,Second Breakfast,4.0,14,56.0
52,Denny's,3.5,16,56.0
53,Waffle Shop,3.5,15,52.5
54,City Cafe,3.5,15,52.5
55,Bruegger's Bagels,3.5,15,52.5
56,Bruegger's Bagels,2.5,19,47.5
57,Bruegger's Bagels,3.0,13,39.0
58,Trolley Barn Eatery,4.0,9,36.0
59,DJ's Sandwich Shoppe,4.0,8,32.0
60,Eat'n Park Restaurants,4.0,8,32.0
61,Club Sandwich & Deli,4.5,7,31.5
62,Nipper's Pizzeria,4.0,7,28.0
63,Bruegger's Bagels,2.5,11,27.5
64,Gary's Restaurant,4.5,6,27.0
65,Uptown,5.0,5,25.0
66,Folino's Ristorante,3.5,7,24.5
67,Bruegger's Bagels,3.0,8,24.0
68,Bruegger's Bagels,3.0,7,21.0
69,Eco Bistro,2.5,8,20.0
70,The Cozy Cafe,4.5,4,18.0
71,Morning Glory Coffeehouse,4.5,4,18.0
72,Island Cafe,3.0,6,18.0
73,Breakfast At Shelly's,4.0,4,16.0
74,The Commoner Corner,4.0,4,16.0
75,26th Street Market and Cafe,3.0,5,15.0
76,GM Dog N' Burger Shoope,3.5,4,14.0
77,The 509 Cafe,3.5,4,14.0
